,Survived,Age,Fare,TravelAlone,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Sex_male
0,0,22.0,7.25,0,0,0,1,0,0,1,1
1,1,38.0,71.2833,0,1,0,0,1,0,0,0
2,1,26.0,7.925,1,0,0,1,0,0,1,0
3,1,35.0,53.1,0,1,0,0,0,0,1,0
4,0,35.0,8.05,1,0,0,1,0,0,1,1
5,0,28.0,8.4583,1,0,0,1,0,1,0,1
6,0,54.0,51.8625,1,1,0,0,0,0,1,1
7,0,2.0,21.075,0,0,0,1,0,0,1,1
8,1,27.0,11.1333,0,0,0,1,0,0,1,0
9,1,14.0,30.0708,0,0,1,0,1,0,0,0
10,1,4.0,16.7,0,0,0,1,0,0,1,0
11,1,58.0,26.55,1,1,0,0,0,0,1,0
12,0,20.0,8.05,1,0,0,1,0,0,1,1
13,0,39.0,31.275,0,0,0,1,0,0,1,1
14,0,14.0,7.8542,1,0,0,1,0,0,1,0
15,1,55.0,16.0,1,0,1,0,0,0,1,0
16,0,2.0,29.125,0,0,0,1,0,1,0,1
17,1,28.0,13.0,1,0,1,0,0,0,1,1
18,0,31.0,18.0,0,0,0,1,0,0,1,0
19,1,28.0,7.225,1,0,0,1,1,0,0,0
20,0,35.0,26.0,1,0,1,0,0,0,1,1
21,1,34.0,13.0,1,0,1,0,0,0,1,1
22,1,15.0,8.0292,1,0,0,1,0,1,0,0
23,1,28.0,35.5,1,1,0,0,0,0,1,1
24,0,8.0,21.075,0,0,0,1,0,0,1,0
25,1,38.0,31.3875,0,0,0,1,0,0,1,0
26,0,28.0,7.225,1,0,0,1,1,0,0,1
27,0,19.0,263.0,0,1,0,0,0,0,1,1
28,1,28.0,7.8792,1,0,0,1,0,1,0,0
29,0,28.0,7.8958,1,0,0,1,0,0,1,1
30,0,40.0,27.7208,1,1,0,0,1,0,0,1
31,1,28.0,146.5208,0,1,0,0,1,0,0,0
32,1,28.0,7.75,1,0,0,1,0,1,0,0
33,0,66.0,10.5,1,0,1,0,0,0,1,1
34,0,28.0,82.1708,0,1,0,0,1,0,0,1
35,0,42.0,52.0,0,1,0,0,0,0,1,1
36,1,28.0,7.2292,1,0,0,1,1,0,0,1
37,0,21.0,8.05,1,0,0,1,0,0,1,1
38,0,18.0,18.0,0,0,0,1,0,0,1,0
39,1,14.0,11.2417,0,0,0,1,1,0,0,0
40,0,40.0,9.475,0,0,0,1,0,0,1,0
41,0,27.0,21.0,0,0,1,0,0,0,1,0
42,0,28.0,7.8958,1,0,0,1,1,0,0,1
43,1,3.0,41.5792,0,0,1,0,1,0,0,0
44,1,19.0,7.8792,1,0,0,1,0,1,0,0
45,0,28.0,8.05,1,0,0,1,0,0,1,1
46,0,28.0,15.5,0,0,0,1,0,1,0,1
47,1,28.0,7.75,1,0,0,1,0,1,0,0
48,0,28.0,21.6792,0,0,0,1,1,0,0,1
49,0,18.0,17.8,0,0,0,1,0,0,1,0
50,0,7.0,39.6875,0,0,0,1,0,0,1,1
51,0,21.0,7.8,1,0,0,1,0,0,1,1
52,1,49.0,76.7292,0,1,0,0,1,0,0,0
53,1,29.0,26.0,0,0,1,0,0,0,1,0
54,0,65.0,61.9792,0,1,0,0,1,0,0,1
55,1,28.0,35.5,1,1,0,0,0,0,1,1
56,1,21.0,10.5,1,0,1,0,0,0,1,0
57,0,28.5,7.2292,1,0,0,1,1,0,0,1
58,1,5.0,27.75,0,0,1,0,0,0,1,0
59,0,11.0,46.9,0,0,0,1,0,0,1,1
60,0,22.0,7.2292,1,0,0,1,1,0,0,1
61,1,38.0,80.0,1,1,0,0,0,0,1,0
62,0,45.0,83.475,0,1,0,0,0,0,1,1
63,0,4.0,27.9,0,0,0,1,0,0,1,1
64,0,28.0,27.7208,1,1,0,0,1,0,0,1
65,1,28.0,15.2458,0,0,0,1,1,0,0,1
66,1,29.0,10.5,1,0,1,0,0,0,1,0
67,0,19.0,8.1583,1,0,0,1,0,0,1,1
68,1,17.0,7.925,0,0,0,1,0,0,1,0
69,0,26.0,8.6625,0,0,0,1,0,0,1,1
70,0,32.0,10.5,1,0,1,0,0,0,1,1
71,0,16.0,46.9,0,0,0,1,0,0,1,0
72,0,21.0,73.5,1,0,1,0,0,0,1,1
73,0,26.0,14.4542,0,0,0,1,1,0,0,1
74,1,32.0,56.4958,1,0,0,1,0,0,1,1
75,0,25.0,7.65,1,0,0,1,0,0,1,1
76,0,28.0,7.8958,1,0,0,1,0,0,1,1
77,0,28.0,8.05,1,0,0,1,0,0,1,1
78,1,0.83,29.0,0,0,1,0,0,0,1,1
79,1,30.0,12.475,1,0,0,1,0,0,1,0
80,0,22.0,9.0,1,0,0,1,0,0,1,1
81,1,29.0,9.5,1,0,0,1,0,0,1,1
82,1,28.0,7.7875,1,0,0,1,0,1,0,0
83,0,28.0,47.1,1,1,0,0,0,0,1,1
84,1,17.0,10.5,1,0,1,0,0,0,1,0
85,1,33.0,15.85,0,0,0,1,0,0,1,0
86,0,16.0,34.375,0,0,0,1,0,0,1,1
87,0,28.0,8.05,1,0,0,1,0,0,1,1
88,1,23.0,263.0,0,1,0,0,0,0,1,0
89,0,24.0,8.05,1,0,0,1,0,0,1,1
90,0,29.0,8.05,1,0,0,1,0,0,1,1
91,0,20.0,7.8542,1,0,0,1,0,0,1,1
92,0,46.0,61.175,0,1,0,0,0,0,1,1
93,0,26.0,20.575,0,0,0,1,0,0,1,1
94,0,59.0,7.25,1,0,0,1,0,0,1,1
95,0,28.0,8.05,1,0,0,1,0,0,1,1
96,0,71.0,34.6542,1,1,0,0,1,0,0,1
97,1,23.0,63.3583,0,1,0,0,1,0,0,1
98,1,34.0,23.0,0,0,1,0,0,0,1,0
99,0,34.0,26.0,0,0,1,0,0,0,1,1
100,0,28.0,7.8958,1,0,0,1,0,0,1,0
101,0,28.0,7.8958,1,0,0,1,0,0,1,1
102,0,21.0,77.2875,0,1,0,0,0,0,1,1
103,0,33.0,8.6542,1,0,0,1,0,0,1,1
104,0,37.0,7.925,0,0,0,1,0,0,1,1
105,0,28.0,7.8958,1,0,0,1,0,0,1,1
